Tweet,Suicide
my culen family jewelery set arived this morning so hapy ,not suicide post
geting ready to take kids to the farm,not suicide post
these boys might find it shocking that some internet stranger like myself would say fuck these guys htps t co vnweno cmv,potential suicide post 
i ate candy cigaretes but i didn t eat the wax once i drank the coke i did however eat the candy lips ,not suicide post
i damn near hate smoking by myself but sometimes i like it cause i can t finish blunts and i be having some for later ,potential suicide post 
is going to get some cereal wil be living of lucky charms next wek wopwop ,not suicide post
it s a great time in life we can help you design an amazing weding ,not suicide post
wow wow god to hear,not suicide post
feling overwhelmed and wanting to die i tried to kil myself today al i wanted was my boyfriend to help me somehow since he ses me on this depresion spiral but al he says is it wil get beter i know it wil but curently i fel traped in my own home i have no friends and i constantly fel weak or unmotivated i have no desire to have sex with my partner and tend to find the worst in him lately i love him but some things he does amplifies my depresion i dont want to die but when i get hurt lonely or overwhelmed the one thought i cant shake is kiling myself,potential suicide post 
asking everyone to send out hapy head first vibes to,not suicide post
and waiting for sunrise in spring with an amazing colors,not suicide post
god so far thanks hope yours wil treat you wel to,not suicide post
ok then might not be for a while though ,not suicide post
it s only the th and i have completed of my seling goal i m hapy ,not suicide post
but stil i highkey want him to be dead he f kiled peach and beck ugh candice is back so ima just htps t co pbyokbtrc,potential suicide post 
htp twitpic com tu p take care guys ,not suicide post
my whole family is so damn beautiful and i m the start of the ugly generation of it and i just hate myself so much i can t even expres it,potential suicide post 
my co workers are my guinea pigs lucky for them i m testing recipes from my ultimate cokie cok bok ,not suicide post
damn i hate myself,potential suicide post 
no i want him to get indicted amp watch the kids go to jail i don t want him to die because the trump htps t co bpmdxzujo,potential suicide post 
ok legit question can i fucking kil myself i m done with life,potential suicide post 
how s the ski jumping going have you beat the misus yet ,not suicide post
i hope i fucken change cause damn do i hate myself ,potential suicide post 
realy god and helpful about the various crisis in the dc universe i have read them al htp crisis crisis com ,not suicide post
nothing to live for why because you have ben nasty ,potential suicide post 
had a lovely night with the best boyfriend and two very god friends,not suicide post
my girlfriend left me i hate colege i have no direction in life i just want to go to slep and never wake up ive ben thinking about suicide a lot recently and diferent methods the only reason i havent done it so far is because i am to much of a pusy i have aces to enough drugs to overdose on i live near plenty of tal buildings i am seing a therapist and psychiatrist al the pils they ve given me have only exacerbated my symptoms i dont care about leaving everything behind because i dont want to hurt the people around me but why should i go on living my shit life just so others arent inconvenienced one of these days i l be drunk enough to finaly pul the triger figuratively literaly,potential suicide post 
you dont have to bring anything it s yr place katesparty,not suicide post
rosie does he think i m gona be single forever ,potential suicide post 
chick fil a bonus ,not suicide post
yeah kg is around lbs glad you liked the interview i did with steve coter quigong is sucha valuable part of any training,not suicide post
what do you want to know about modx cms maybe i can help you,not suicide post
i m home from schol yay wasn t that bad actualy and i had a nice diner with grace ,not suicide post
im hoping my stres level wil go down when my aunt is gone i cant relax am exhausted and can t focus on a dam htps t co ervpz rps,potential suicide post 
a friend i knew online from last night finaly aded me up on his mesenger ,not suicide post
i jst snezed twice me thinks there s at least one ghost in my house now ,not suicide post
thanks wani,not suicide post
haha get al your stres out x,not suicide post
just aded a litle more grist to the mil,not suicide post
you want every vote counted no mater if the voter is dead move to a diferent precinct ou htps t co nc pdoquvu,potential suicide post 
our barefot range is a great alternative when you ned to wear shoes they alow you fot move as though it were barefot,not suicide post
there are no perks of being this ugly i deserve an award or something at least if i m gona die alone,potential suicide post 
rt random comenter asked why i had such an extreme social warior agenda in magnus chase what he cals extreme social jus ,potential suicide post 
it s tuesday at work stil riding the high from the workout last night it should be a god day ,not suicide post
so sad that i can t protect these cats and i don t know whats ever bothering them i don t know why this stuf has htps t co sdrcty v ,potential suicide post 
never ben to war but i get terible nightmares that wake me up fighting for my life thisisus ptsd,potential suicide post 
col htp w onlinemarktplatz de twiter fieber bei ebay ,not suicide post
ok that diner rocked,not suicide post
stuck every time i try and kil myself i cant go through with it but i cant kep living feling this way why cant i just let myself die,potential suicide post 
damn i hate when i type so fast and the autocorect changes go unoticed smh at myself ,potential suicide post 
rt shes doing her best htps t co tarp gndlu,not suicide post
live your best life,not suicide post
al i want is the truth ,not suicide post
we are not fusy about age here as long as females are betwen i changed the rules lol,not suicide post
i m just gona go ahead and kil myself already done for the fucking day ,potential suicide post 
i canot wait for my mum to fucking die al i wait is for her to die then i am going to lie under the train that very day and folow suiti canot wait i would kil her to be able to kil myself soner but we are two in a very intimate relationship in short i can not kil her guns are forbiden in my country i have got only a knife or a brick to do it and so i cant do it it s very blody and slow method canot do anything my tonsils stink i hate human stench in al forms except dashas shits i hate my body hate arteries these nose and lips and saliva and eyes and al i hate human body except dashas one i want to fuck and to be with my dasha,potential suicide post 
tania i think you should get athene and the rest of the crew on twiter,not suicide post
n i got yr pic posing in the server rom ,not suicide post
bye bye going to slep finaly xd d p,not suicide post
working on a film have ben busy have a nice day everyone,not suicide post
i want to die where can i go to comit suicide give me an injection as i am unconconscious and end my nightmare life i want to die,potential suicide post 
i want to play with it ,not suicide post
thanks to everyone who s sent me work this year you l pleased to know i ve just planted tres in india with some of the profits x,not suicide post
this is my notice of me giving up on life n becoming an alcoholic bc i m miserable n want to die farewel il be drunk,potential suicide post 
new iphone is completely updated sun shining in dery tis a prety day,not suicide post
i want to be a doctor ,not suicide post
cash in the atic is ok i prefer homes under the hamer haha i do love being of schol ,not suicide post
il ride for my dawgs any day but at the end of the day i already know where the strets can take you amp i what hap htps t co pqys uwhkj,potential suicide post 
i want her,not suicide post
wel compared to other areas west of us i l take our degres and run with it,not suicide post
aw i am so jealous please take me with you,not suicide post
mn i dont want to be here anymore ,potential suicide post 
scared of death tired of living ,potential suicide post 
take it al back was so fun htps t co iewkzkosb ,not suicide post
ive had enough of life and the pain it causes,potential suicide post 
omg the cringe i cant,potential suicide post 
i love your sh tato did it hurt i think i m gona get it,not suicide post
i literaly cant explain everything so much has hapened i dont wana be here anymore wtf is even the point i literaly ,potential suicide post 
i want him,not suicide post
had a juice box this morning you never know the joy a juice box can bring until you have one later on in life ,not suicide post
she didn t want him to go out with other women,not suicide post
you re welcome it was a great way to be introduced to your music,not suicide post
awesome can t wait to se it ,not suicide post
my heart is so crushed ,potential suicide post 
o aple store is down so close credit card ready,not suicide post
you ve changed for the fucking worse i cant believe that you could realy go back on al ur hard work like that,potential suicide post 
not just because the house has never had a black woman in leadership but because ,not suicide post
hey golden is here with me and just wanted to say hi and have a great morning,not suicide post
god morning twiter world ,not suicide post
a revolution in household detergent introducing kidscleaning get one now while stocks last,not suicide post
everything that you ve ever dreamed of,potential suicide post 
congrats il def go and suport the tc media takeover,not suicide post
going to bed godnight ,not suicide post
going to schol and enjoying my last day as a year old but to,not suicide post
hm not god carot juice and marmalade on toast may help ,not suicide post
im tired and sick of everything i wana die htps t co w rqcbvnv,potential suicide post 
rt no one has had more of an impact on my carer and everything we do at marvel studios than stan le stan leaves an extr ,not suicide post
 months ago my grandmother pased away months ago i got my heart completely broken months ago i almost atem htps t co ozmfrvud ,potential suicide post 
realy tired of everything it s al just so lame and gay nothing serious us ever going to hapen an htps t co swsugxe ua,potential suicide post 
trying to figure out how this works ,not suicide post
my life is miserable,potential suicide post 
positive mental atitude today can t be as bad as yesterday ,not suicide post
god morning al,not suicide post
yay just found out amy is having a girl lil bonita im so excited now i can go by litle girly things for the babes,not suicide post
damn i fucking hate myself,potential suicide post 
snugling in bed with my litle baby ah ,not suicide post
mhm up oh early for me amp i fel like whatching open arms again by gary go ,not suicide post
isn t the best twiter client for me it s the simplicity and al in that makes me love it,not suicide post
could be mine grew out down my back and then al fel of,not suicide post
rt what a fun day htps t co jr utkfx ,not suicide post
vou ler atd foi uma maratona let s just say i m glad it s over lol ,not suicide post
laughter is inded the best medicine whatever ur situation today find a reason smile wholeheartedly god is god faithful amp loves u lt ,not suicide post
they want people like me dead they don t want to help me if i was in canada israel or germany i wo htps t co uefzi hnit,potential suicide post 
enjoyed the n dubz gig last night and it finished early which is always a bonus,not suicide post
i think its tonight because i dont care and i have nothing left i dont care i had something so great so promising and they striped it down past the bone into splinters then pised on the splinters i dont want hapines i dont want dreams i dont care that if i post a note everyone wil desperately try to stop me i know they l care when i am about to die or dead i am numb i am no longer scared and the hurt is to much i gota go i have nothing left i had a lot of love to give but its gone with me i just wanted someone to hear me before the end,potential suicide post 
rt never get to atach cause people wake up with diferent felings everyday ,potential suicide post 
do you ever fel empty and you had to pick a number from depending how you fel about it i could write my funeral spech now but what is the point in afew years i would be forgoten anyway,potential suicide post 
they don t do them in my size how r u ,not suicide post
it snowed okay there s not enough to build frosty but it snowed as long as it s cold it might as wel snow enjoy your day,not suicide post
yal im sad cause i kep seing twets about invisible and the fact that it was a suicide note and like i already htps t co ftr wa glz,potential suicide post 
rt i hate feling the way i do,potential suicide post 
glad to se spring making a comeback in denver today ,not suicide post
helo g mrng wuzup hows twitervile while i was sleping evrythings col ,not suicide post
nah i think going sideways is best realy helps when dodging bulets,not suicide post
i m so done with today like i just want to fucking kil myself,potential suicide post 
if you have any questions fel fre to email us at sales jshop co uk or send a dm on twiter,not suicide post
it s ben nearly thre years but i stil fel that kylo ben solo doesn t deserve redemption the man kiled his ow htps t co a qtrmkh ,potential suicide post 
al right so that s for slytherin for huflepuf and for ravenclaw sadly i l have to cut these sprin htps t co jn aezatu,potential suicide post 
ba t ko kinakawan sarili ko at inisip na yung iba naisip din ako damn hate myself it s just me ,potential suicide post 
hey there sent you a dm ,not suicide post
you make the milk lok realy god in your pictures,not suicide post
htp twitpic com y i totaly love this pic are you singing it in finish ,not suicide post
,not suicide post
oh that s lovely,not suicide post
you wil fuly blom after al the hardships i love u ,not suicide post
aw i m so sory try not to let it get to you to much they obviously didn t deserve you in the first p htps t co f adf m u ,potential suicide post 
showcase quick vip rom on thursday,not suicide post
is that me tony price is on here to as is fab,not suicide post
hey mariedes welcome to our twiter fed g mornin to ya ,not suicide post
wow that was an experience you don t ned to se repeated again glad he is ok ,not suicide post
embeding a gogle calendar into a site is actualy seriously easy,not suicide post
i die a litle inside when i se an old person eating alone at a restaurant ,potential suicide post 
i hate repeating myself dawg like damn ,potential suicide post 
runing out of option it physicaly hurts to breathe i have no dream or goal or ambition or motivation i am tried of it al i have ben to hospital er psyche ward therapist diference medications my girlfriend the only person i realy loved who wasnt family wants to just go do drugs and drink or whatever the fuck leaving me here with nothing so i cant at least just talk to her any more about how i fel it hurts it hurts so much so much pain and why i dont know why was i born to sufer like this if god is real he wants me dead and i do to,potential suicide post 
 words ,not suicide post
spain rt even though we dont want to we know that we have to believe that you re not here anymore and we know that we have to be st ,potential suicide post 
that is so col god to hear thanks for sharing ,not suicide post
debuted on this wek s bilboard social at ,not suicide post
let me hate myself god fucking damn it,potential suicide post 
it is going to be suny and celcius friday and suny and saturday swet,not suicide post
i second to that ian thank you,not suicide post
in reality social media don t care about a mans mental health or don t want to speak on it until he s dead lets be real,potential suicide post 
not everything is gold ,not suicide post
became as hot as the persistent days resting heavily on tired flowers,potential suicide post 
we used to have one but keping a live wild animal in a cage surounded by screaming drunk htps t co swocdlrqwc,potential suicide post 
im so tired of everything can i die,potential suicide post 
stil listening to some great music i got yesterday amber pacific is awesome ,not suicide post
going to day care get to se hanah this should be a god day i hope so anyway ,not suicide post
i almost fel bad for my next post almost ,not suicide post
thanks it s certainly beter than it was miday yesterday at one point i was walking around like kryten from red dwarf ,not suicide post
how did you know i love it ,not suicide post
every day just brings me closer to death i am years old working student i want to kil myself life is unbearable i have no skils not talents and i am absolutely boring person so i spend most of my fre time alone i realy want to find a girlfriend but i se no way how could i find one when i am useles like this i used to go away from sadnes by listening to music but these days i am bored of music and just want to go to slep and never wake up,potential suicide post 
can i have yours clouds have come in i fear i may be to late to enjoy the weather,not suicide post
that is great to hear thanks chip ,not suicide post
rt completely devestated by the fires afecting my comunity i am one of the lucky ones my animals and love of my life made ,not suicide post
ah s pop was so god,not suicide post
i m leaving the laptop at home i l put up with twetie i can get dms on gmail new friends can always send me their email ady,not suicide post
 thank god for slept in and he tok ava to daycare ,not suicide post
i dont know why i kep trying my home life has always ben incredibly toxic and my parents have always ben a major contributor to my depresion and anxiety i just fel like a worthles individual i dont have a job and i am not doing anything and i have no motivation to even leave the house let alone my bed al my life shit like this has continued to hapen to me and sometimes i lok at al the pils i have to take and consider just shoving a handful in my mouth and ending it al but most of the time i just lie in my bed and wish i could die without actualy having to kil myself because i am a coward i am so tired of hearing that things are gona get beter,potential suicide post 
amazing night and great day i love my hels ,not suicide post
tired of living life with the fear of not being liked so for now on fuck it i m realy livin now people ,potential suicide post 
jami probably drunk driver coming onto on coming trafic,potential suicide post 
rt me knowing damn wel that i wil hate myself for taking a but doing it anyways htps t co frhjvbgkuw,potential suicide post 
i m out of al my fucking meds bc my family thought it was the best to do since i got sick tired and sl htps t co dplnb sh,potential suicide post 
rt never ben to war but i get terible nightmares that wake me up fighting for my life thisisus ptsd,potential suicide post 
what s twiter oh this is twiter yea my por litle birdie no here comes the fail whale ,not suicide post
im gona fucking die im tired of investing everything into a person and then have them throw it out i am not made htps t co hb kz qb,potential suicide post 
yo sometimes i m just tired of living ,potential suicide post 
rt congratulations to ol anthony veren for being named gpac fotbal first team ofense gojimies ,not suicide post
aspiring to be as hapy as in every aspect of life,not suicide post
rt i used to check the forbes under list every year to se if i could find a husband on it ,potential suicide post 
 que screamo voice so cut my wrist and black my eyes,potential suicide post 
so i ned to work on this project and people count on me but i do fucking nothing because i think it s htps t co xujt fp x,potential suicide post 
you hear this together we could start some sort of terible busines that pays nothing and sucks our wi htps t co cd tveag,potential suicide post 
rt if you find someone that makes you hapy enjoy it life is not fair nor give many oportunities htps t co dcbwdeqvh ,not suicide post
debs pw is up on mse congrats ,not suicide post
sister ruined the night before it even started i dont even want to be here anymore,potential suicide post 
rt i quit i kep grinding but stil fucking suck i no life something and i stil fucking suck i m never gona get into,potential suicide post 
i cant take this anymore might as wel end this sory as life,potential suicide post 
i wana kil myself like not literaly but mentaly and emotionaly,potential suicide post 
 i dont want to be here anymore i done ruined a god thing htps t co bql yili l,potential suicide post 
trying out spaz for twiter posts love my destroytwiter but it s easier to read spaz ,not suicide post
we wouldn t want them to think we were doing anything imoral ,not suicide post
a twet twet here and a twet twet there godnight ,not suicide post
checked out that homerun derby ep it slaps htps t co lrhb fdz t,potential suicide post 
everything,not suicide post
obey the last fm algorithm maybe it would turn out you realy do like scoter if you gave him a chance,not suicide post
haha i wish i was i m tired of living here i wana go down south,potential suicide post 
so true nothing induces madnes like trying to figure out why pl do what they do hope today with yr litle one is wonderful x,not suicide post
but ha internet explorer is being nice to me mozila firefox is mean ,not suicide post
tired of kickin you bitches out the house bout ready to go to slep and wake up to the same ting forever ,potential suicide post 
rt ive said it before and il say it again waluigi sucks he sounds and loks funy and thats it theres nothing else t ,potential suicide post 
rt a year after the devastating earthquake in this city this young mother says she amp her family stil don t have shelter ,potential suicide post 
heh heh dirty is always god gurl i like how you think,not suicide post
getin of the internet gona finish my hair,not suicide post
after failing once this is how i fel i wish that suicide was funded by the government i wish guns for suicide would be like condoms given to tens so if they are going to do it they do it right i wish euthansia was legal i wish that i wouldnt have to fear buying poison or a gun of the black market because if i get caught my life would get worse,potential suicide post 
morning i have slacked for two days in twitering but here i am again just finished a god run ready to start a new day ,not suicide post
i am loking for someone to talk to al i want to do is die,potential suicide post 
i don t hate the player i hate the game jes glyne is probably an awesome person but i wil kil myself or someon htps t co kikygqyus,potential suicide post 
i am loving what i just read about vr love it ,not suicide post
just watched chuck going out with mel son,not suicide post
oh thank you i m just glad to not be shuting stuf acros the stret anymore it s a litle slower w the unpacking tho ,not suicide post
same to you sue ,not suicide post
no i dont want to be here anymore it hurts to much and im strugling to much,potential suicide post 
i want to read p d james s the children of men though interesting premise yay for futuristics ,not suicide post
i am woried i might lose it tomorow i cant realy tel anyone for fear of worying them i wil be one year and eleven months clean and sober tomorow i am going to be of my methadone maintenance program in two weks i am going to walk home from the court pack al my things and clean my apartment and say my godbyes its just to much i am realy hoping it doesnt come to that i hope so fucking much i dont want to kil myself i dont want to do that to anyone i am not strong enough to start over again my chest fels like its going to explode with anxiety i fel like i am going to break down crying in front of the judge tomorow practicaly pleading for my life,potential suicide post 
realizing that i wil not get a surprise certified leter stating that i am the sole heir of a wealthy family s inh htps t co dzywg tu,not suicide post
what about blur song ,not suicide post
morning,not suicide post
tired of waking up tired of wanting to die tired of everything ,potential suicide post 
me ses a car crash i wonder how they crashed,potential suicide post 
i just want to slep so much has gone wrong in these years and its stil geting worse i can not change most of what is going on around me but it wil invariably afect me i dont want to give it the chance so if i go and slep and dont wake up i wont have to deal with it,potential suicide post 
i m always cherful when it s suny at atl means i l get the heck away on time,not suicide post
just boked and i in for d baby scan tomorow very exciting can t wait to se our litle girl,not suicide post
liter spent so much money tonight and literaly one of the worst nights in a lo g time literaly about to straigh htps t co xegk zt xs,potential suicide post 
rt girl i wana lok this god when i m pregnant lol congratulations beautiful i hope it s a girl so she can be like u,not suicide post
i m a size but i have to wear orthotics in my fotwear if i m atempting to walk so i can get away with a ,not suicide post
now my heart wants to die to i ve ben strugling with depresion trauma and suicidal thoughts for years but honestly things havent ben as painful as they are now i am here siting alone and alienated confused depresed miserable helples and alone and honestly at this point i just hate life,potential suicide post 
wasn t the miami valey already frozen it s winter ,not suicide post
i m actualy tired of this it s like living in a home where the troubled deceitful child always wi htps t co qsfqopfqjp,potential suicide post 
rt i don t want them to come for my acount literaly the only thing keping me through the miserable existence that is ,potential suicide post 
he is god he s down in florida for mts he graduates in late april he realy hapy about this,not suicide post
i ve ben at schol since yesterday god morning demi lovato im a fan from canada ,not suicide post
we were aproved for a cute townhome so much closer to work i m so excited ,not suicide post
rt i m sick and tired of listening to saying first and foremost we re al here to work for c ,potential suicide post 
this is corect i for one absolutely do not want to live in a country with these fucking chuds and i believe htps t co xex emj,potential suicide post 
i wish i stil had my simpsons shower radio ,not suicide post
i love everyone else while i hate myself,potential suicide post 
tired of living like this,potential suicide post 
dude i am so jealous goin to buy some on thurs,not suicide post
welcome twet lt lets get this ,not suicide post
that s not how it works and if you truly believe this then i fel sory for you we do htps t co piki m chk,potential suicide post 
hapy birthday eat something god,not suicide post
 it wil only get worse come winter the chai at the goldfish bowl is the best out ,not suicide post
rt i love to se palestinians dancing and having fun god amp positive stories deserve to go viral as wel ,not suicide post
htps t co mpqrunpex htps t co mpqrunpex,potential suicide post 
ever fel like everyone s beter of without you because me fucking to htps t co tcs zrzoj,potential suicide post 
nope ahm preps for props,not suicide post
recorded what ,not suicide post
what about twitering your task,not suicide post
 gt in june in portugal i don t know should i go or is just another catching song ,not suicide post
i want to be a painter,not suicide post
my cowley road e p has ben re released on itunes if you don t have it get it ,not suicide post
how did i just give up on sleping im not even trying anymore i hate myself damn,potential suicide post 
how s it coking loking forward to having a taste later ,not suicide post
 words over with stil more to write lame buritos for tea,not suicide post
phone again,not suicide post
rt on this day november th quen release single somebody to love ,potential suicide post 
its fucking cold i hate working at am tf did i sign up for why did i do this to myself damn it,potential suicide post 
about time you should always listen to your wise friend kate she s the colest ,not suicide post
rt i don t want to die but you know nothing is for certain and i m tired of keping quiet ,potential suicide post 
one month from today we l be on that plane headin for ny ,not suicide post
i just dont want to be here anymore,potential suicide post 
w youtube com titomi watch the videos coment amp suscribe amp folow me chers x,not suicide post
 iowa no in hapy yea ,not suicide post
damn realy hate myself rn,potential suicide post 
oh sory would have replied earlier but was flickin thru my wonderful new bok of ideas,not suicide post
rt i wana let it be known that if any of my homies ever in your life fel like y al alone or just tired of living i m a tex ,potential suicide post 
hey doing wel loking forward to meting up with you and in dc ,not suicide post
done trying to be hapy it never helped and it never got aproved by my parents meaning i have to stop al of what makes me hapy and honestly i dont want to try anymore im just going to sit here and fail and kep failing until one day when death finaly fals upon me ,potential suicide post 
tr im are doing it with nambu bit ly are doing it with twetdeck,not suicide post
being a single momy was never part of the plan but i wake up everyday and do my shit ,potential suicide post 
has only ben awake two hours but would like to go back to slep,not suicide post
its amazing i saw it on broadway with the original cast ,not suicide post
you ben pufing on that dragon again ey ,not suicide post
yes i am obviously the only one at the national aviary who answers the phone ,not suicide post
rt glas half ful glas half empty this mizou team is legitimately prety god if you go by sports reference s simple ,not suicide post
time to turn of and go to slep i think its ben a big day godnight al,not suicide post
wel i must say your coments have even got me thinking his hair loks rather sexy so i doubt she has much chance to resist,not suicide post
rt bartomeu today he celebrates two further honours in a legendary carer a th pichichi goalscorer award and the di st ,not suicide post
nope you just caught me chers i m sure i wil hope the sunshine holds out for you,not suicide post
i went with csi as my episode of dolhouse neded redownloading once that s done i can watch that then the rest,not suicide post
just had lovely cudle with tali virgo,not suicide post
is home from the gym and is going to sit on her but al day,not suicide post
 going for a four mile night run around the old b bomber on andersen gota tape my ankles ,not suicide post
everything is temporary evil eyes of shivrit,not suicide post
a litle of what you fancy does you god i am told,not suicide post
after sicknes back to work,not suicide post
i woke up feling great ,not suicide post
he is not tired of everything ,not suicide post
hi,not suicide post
don t get upset by it not worth it besides if they do that with enough people their acounts wil not be so popular ,not suicide post
we just got a picture with my boyfriend thats what that is,not suicide post
ah it s not the same since the old days when he of the orange face was stil around ,not suicide post
lol sup it aint fucked,not suicide post
rt living in the hod can be realy tough i am tired of losing people to the violence i wil not give up htps t co zjy ,potential suicide post 
i want to kil myself i realy want to fucking kil myself im done,potential suicide post 
 oh somebody kil me please ,potential suicide post 
yes inded with copious amounts of whiped cream,not suicide post
i am empty i ve ben focusing on schol and work but every day i fel worse and worse last night i got blackout drunk didnt help made me fel even worse i know that my lonelines comes mostly from my conscious decisions cant live with people cant live without them the only reason i havent kiled myself yet is that i fear the pain,potential suicide post 
glad to hear you re making the switch you wil not be disapointed,not suicide post
i wana fucking kil myself,potential suicide post 
please retwet my wed g board the colest adult carton i m tired of living the worst times of my life plea htps t co jxwjlxgt x,potential suicide post 
of to the bakery to buy yumy stuf,not suicide post
is cleaning up wil start anew ,not suicide post
the rewards wil be credited to your huobi acount in working days ,not suicide post
prof ,not suicide post
 hen style may or may not involve making promises other people ned to deliver no such concerns here,not suicide post
kep it up you do god work ,not suicide post
nice,not suicide post
today i almost kil myself because i almost hit by a car thank lord ,not suicide post
sir please tel does it suit to respected pm to tel give me days and if things don t improve burn me alive if yes then anyone can say that come we shal burn u if not i didn t se anyone dis asociating with this line ,potential suicide post 
extremely tired of everything i just want to die ,potential suicide post 
rt i m a fucking lunatic when i get angry it s so terible i ned to work on this so bad before i end up doing something that fu ,potential suicide post 
 congratulations dave enjoy the litle un x,not suicide post
god morning,not suicide post
yumy starbucks ,not suicide post
death scares tf out of me and i am not ready to die,potential suicide post 
i hate being by myself bc everything a damn music video,potential suicide post 
i went to starbucks earlier,not suicide post
gene has ben acting a bit od lately when i told him about leper wanting to jump out of the tre to join the supe htps t co jqjowpbq x,potential suicide post 
i was drinking and crying my night away as usual to find out my ex is fucking a girl in his bed so i tried to kil htps t co yfpgq c k,potential suicide post 
wow awesome pics ,not suicide post
death cant be much worse i am male my girlfriend left i have ben staying late in the ofice for to long because i cant cope with the workload friends are non existent hate my family and they hate me i just want to die i dont se any other option at this point,potential suicide post 
rt hate the fact that i m damn near forced to figure everything out by myself but it must be done,potential suicide post 
god morning god morning god morning,not suicide post
im gona watch t m c wot they hav say bout twiter yor show was briliant as ever this mornin katie x,not suicide post
